t,ax,ay,az,temp,P,hum,roll,pitch,yaw,gx,gy,gz,cx,cy,cz
2267.218733,0.315179706,-0.960320294,-0.276700824,10.98926353,1020.494629,26.55649567,253.0085974,336.8711217,125.1120174,0.791070938,0.127482638,0.012482728,-8.325906754,-58.24119949,-51.3158226
2267.341548,0.540169477,-1.569898129,0.396007389,11.06104279,1020.48877,27.19220543,259.641838,338.6007083,127.795913,-0.206166521,-0.218267098,-0.533325374,-8.225471497,-58.82525253,-48.55667496
2267.460679,0.198805645,-0.422386527,-0.153535202,11.00720882,1020.478271,26.43730164,253.3548538,332.9868204,131.1782363,-0.662788332,-0.501708567,-0.631063819,-6.147221565,-57.96265793,-50.39981842
2267.583459,0.129708573,-0.281028181,-0.220782176,11.00720882,1020.471924,26.84786224,247.4523614,335.1483857,139.032503,0.388816237,-0.112892836,0.707036495,-5.071771622,-57.41759872,-51.70736313
2267.708306,0.47422421,-1.264023662,-0.614863932,10.98926353,1020.473633,28.17556572,251.9167506,337.8373732,136.7109217,0.160963491,0.31532371,0.449556828,-6.504294872,-58.13005447,-50.518116
2267.828625,0.746733427,-1.515139818,-0.189930528,11.00720882,1020.479492,26.79157639,251.6142006,341.2390498,135.1516715,-0.517707825,-0.082655005,0.183830425,-8.906683922,-57.92995453,-50.4107666
2267.951607,0.160256758,-0.390062273,-0.199089617,11.06104279,1020.485107,26.10620308,254.3363861,338.6576396,129.2882,0.545808554,0.939627945,-0.361977667,-9.738130569,-58.06934357,-50.54821396
2268.071728,0.212140173,-0.411048919,-0.185833052,10.95337391,1020.490967,26.60947227,255.7130176,337.0968099,126.888577,0.0552838,0.311963946,0.231783345,-9.094127655,-57.96187592,-50.16034698
2268.211191,0.854864299,-1.582200646,-0.043867204,11.00720882,1020.487793,27.27828979,262.6115975,337.3754167,128.9688204,0.458149433,-0.263776541,0.31791535,-8.555687904,-58.88815308,-46.92836761
2268.359686,0.633753657,-1.205646992,0.384797335,10.89953995,1020.48999,27.59614372,265.527494,332.8460212,132.4382696,-1.025336862,-0.53866595,-1.623414397,-7.31053257,-59.76300812,-44.68777466
2268.483249,0.135284826,-0.426246166,-0.074718863,10.95337391,1020.48877,28.21860886,256.3978329,327.4615833,138.2175522,-0.616667986,-1.018805981,-0.212315693,-3.471637011,-58.90680313,-47.44112778
2268.605914,0.105463974,-0.093113191,-0.221264243,11.00720882,1020.494629,27.35775375,249.6348459,329.68259,148.9924761,1.395522118,0.039823472,0.265075505,-3.063598871,-58.1197319,-48.48209381
2268.728632,0.868441284,-1.44349575,-0.72091651,10.95337391,1020.513916,27.62925339,257.2652737,330.1036439,147.1987182,0.043982793,-0.450090438,0.580892861,-3.37548089,-59.06115341,-45.89270782
2268.851373,0.187895581,-1.667835951,0.533208728,11.04309845,1020.527344,27.7120285,256.64596,335.0743755,148.6399154,-0.828027368,0.404204607,-0.270653307,-6.019876003,-59.7063446,-44.49228287
2268.970696,0.323665291,-0.378965884,-0.24440299,11.02515316,1020.536133,28.00670624,256.5651588,328.2425437,141.3444128,-0.258090079,0.51080054,-0.380609035,-4.566178799,-59.40694427,-44.54009628
