# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
2.3222,239.32,113.44,-26.129,113.9,26.158,19.583,0.0018586,19.583,0.005438,10.186,1.2128,32.9,-106,9.7947,0.071539,0,-0.11919,-0.006108,1136,0,0.18316,0.0087285,74.161,65.549,1.0937,0.33637,7280074,0,18.592,0.49207,0.49208,0.31099,0.046365,0.13471,0.018054,0.020032,-1.3942e-4,0,0,0,0,-9.7353e-8,0.01397,7.874,48.695,83.701,0.010735,NaN,13.119,979.32,339.25,0.01,0.15956
2.3322,240.46,113.18,-26.036,113.63,26.07,19.684,0.0018758,19.684,0.0054598,10.173,1.3254,32.9,-106,9.7947,0.05727,0,0.046825,-0.0062781,1136,0,0.18316,0.0087285,74.166,65.549,1.0944,0.33561,7262887,0,18.501,0.49194,0.49194,0.31101,0.046284,0.13464,0.014448,0.016233,-2.3992e-4,0,0,0,0,1.5095e-8,0.013938,7.874,48.695,83.7,0.010204,NaN,13.112,979.18,339.24,0.01,0.15984
2.3422,241.59,112.92,-25.942,113.37,25.983,19.786,0.0018932,19.786,0.0054822,10.16,1.444,32.9,-106,9.7947,0.042092,0,0.17514,-0.0074239,1136,0,0.18316,0.0087285,74.172,65.549,1.0951,0.33485,7245756,0,18.41,0.4918,0.49181,0.31103,0.046203,0.13458,0.010616,0.01151,-1.4184e-4,0,0,0,0,2.1215e-7,0.013906,7.874,48.695,83.702,0.0095571,NaN,13.105,979.05,339.24,0.01,0.16014
2.3522,242.71,112.66,-25.85,113.12,25.897,19.888,0.0019108,19.888,0.0055049,10.144,1.5553,32.9,-106,9.7947,0.027621,0,0.26341,-0.0070971,1136,0,0.18316,0.0087285,74.178,65.549,1.0959,0.33409,7228663,0,18.32,0.49167,0.49168,0.31104,0.046123,0.13451,0.0069641,0.0078394,-2.2424e-4,0,0,0,0,4.8206e-7,0.013874,7.874,48.695,83.704,0.0088303,NaN,13.097,978.92,339.24,0.01,0.16043
2.3622,243.84,112.4,-25.762,112.86,25.813,19.989,0.0019285,19.989,0.0055278,10.129,1.6336,32.9,-106,9.7947,0.017021,0,0.32172,-0.0088268,1136,0,0.18316,0.0087285,74.182,65.549,1.0964,0.33334,7211569,0,18.229,0.49154,0.49154,0.31106,0.046042,0.13444,0.0042904,0.0048729,-3.8302e-4,0,0,0,0,7.2235e-7,0.013843,7.874,48.695,83.707,0.0081192,NaN,13.09,978.79,339.23,0.01,0.16071
2.3722,244.96,112.14,-25.674,112.6,25.731,20.09,0.0019463,20.09,0.0055507,10.112,1.7112,32.9,-106,9.7947,0.0063892,0,0.35133,-0.014105,1136,0,0.18316,0.0087285,74.186,65.549,1.0969,0.33258,7194530,0,18.14,0.49142,0.49142,0.31107,0.045963,0.13438,0.0016102,0.0015225,-3.1328e-4,0,0,0,0,8.6537e-7,0.013811,7.874,48.695,83.71,0.0073557,NaN,13.083,978.66,339.23,0.01,0.16099
2.3822,246.08,111.89,-25.587,112.34,25.649,20.191,0.001964,20.191,0.0055733,10.094,1.786,32.9,-106,9.7947,0.004005,0,-0.3538,-0.0066914,1136,0,0.18316,0.0087285,74.186,65.549,1.0969,0.33183,7177545,0,18.051,0.49129,0.49129,0.31109,0.045883,0.13431,0.0010092,7.151e-4,-2.1799e-4,0,0,0,0,-8.816e-7,0.01378,7.874,48.695,83.714,0.0065801,NaN,13.075,978.52,339.22,0.01,0.16127
2.3922,247.2,111.63,-25.5,112.09,25.568,20.292,0.0019817,20.292,0.0055954,10.076,1.8562,32.9,-106,9.7947,0.013909,0,-0.33192,0.0031877,1136,0,0.18316,0.0087285,74.182,65.549,1.0964,0.33108,7160615,0,17.962,0.49116,0.49116,0.3111,0.045804,0.13425,0.0035055,0.0040968,-4.389e-4,0,0,0,0,-7.7947e-7,0.013748,7.874,48.695,83.717,0.0056968,NaN,13.068,978.39,339.22,0.01,0.16156
2.4022,248.32,111.38,-25.418,111.83,25.489,20.393,0.0019992,20.393,0.005617,10.057,1.8942,32.9,-106,9.7947,0.019871,0,-0.28849,0.0044883,1136,0,0.18316,0.0087285,74.179,65.549,1.096,0.33034,7143693,0,17.874,0.49103,0.49103,0.31112,0.045726,0.13419,0.0050085,0.0052727,-2.559e-4,0,0,0,0,-5.915e-7,0.013717,7.874,48.695,83.72,0.0047474,NaN,13.061,978.26,339.21,0.01,0.16186
2.4122,249.43,111.12,-25.346,111.58,25.413,20.493,0.0020165,20.493,0.0056377,10.039,1.8384,32.9,-106,9.7947,0.014152,0,-0.24526,0.0036137,1136,0,0.18316,0.0087285,74.181,65.549,1.0963,0.32958,7126671,0,17.786,0.4909,0.4909,0.31114,0.045647,0.13412,0.0035665,0.0036712,1.492e-4,0,0,0,0,-4.295e-7,0.013686,7.874,48.695,83.723,0.0037764,NaN,13.054,978.13,339.21,0.01,0.16214
2.4222,250.54,110.87,-25.274,111.32,25.337,20.594,0.0020334,20.594,0.0056574,10.02,1.782,32.9,-106,9.7947,0.0082866,0,-0.21606,-0.0043422,1136,0,0.18316,0.0087285,74.183,65.549,1.0965,0.32883,7109702,0,17.698,0.49078,0.49078,0.31115,0.045569,0.13406,0.002088,0.0017908,-1.8178e-4,0,0,0,0,-3.3484e-7,0.013655,7.874,48.695,83.725,0.0028083,NaN,13.047,978,339.21,0.01,0.16241
2.4322,251.64,110.62,-25.203,111.07,25.262,20.694,0.00205,20.694,0.005676,10.003,1.7263,32.9,-106,9.7947,0.0024823,0,-0.20034,-0.042143,1136,0,0.18316,0.0087285,74.185,65.549,1.0968,0.32808,7092787,0,17.61,0.49065,0.49065,0.31117,0.045491,0.13399,6.2538e-4,7.3129e-4,-2.6441e-4,0,0,0,0,-2.8921e-7,0.013624,7.874,48.695,83.727,0.0018329,NaN,13.039,977.87,339.2,0.01,0.16272
2.4422,252.75,110.37,-25.132,110.82,25.187,20.794,0.0020662,20.794,0.0056932,9.986,1.6721,32.9,-106,9.7946,0.0034093,0,0.19734,-0.054027,1136,0,0.18316,0.0087285,74.184,65.549,1.0967,0.32733,7075925,0,17.523,0.49052,0.49052,0.31118,0.045413,0.13393,8.5892e-4,0.0013878,-1.056e-4,0,0,0,0,2.8191e-7,0.013593,7.874,48.695,83.729,8.3808e-4,NaN,13.032,977.74,339.2,0.01,0.163
2.4522,253.85,110.12,-25.061,110.57,25.113,20.893,0.0020818,20.893,0.0057089,9.9695,1.6186,32.9,-106,9.7946,0.0090797,0,0.21873,-0.028499,1136,0,0.18316,0.0087285,74.182,65.549,1.0963,0.32659,7059113,0,17.437,0.4904,0.4904,0.3112,0.045336,0.13387,0.0022876,0.0027049,-2.8623e-4,0,0,0,0,3.4791e-7,0.013562,7.874,48.695,83.731,-3.2899e-5,NaN,13.025,977.61,339.19,0.01,0.16329
2.4622,254.95,109.87,-24.991,110.32,25.04,20.993,0.0020969,20.993,0.0057231,9.9536,1.5616,32.9,-106,9.7946,0.015262,0,0.2491,-0.019412,1136,0,0.18316,0.0087285,74.179,65.549,1.096,0.32585,7042340,0,17.351,0.49027,0.49028,0.31121,0.045259,0.1338,0.0038456,0.0041242,6.1195e-5,0,0,0,0,4.5332e-7,0.013531,7.874,48.695,83.734,-7.0769e-4,NaN,13.018,977.48,339.19,0.01,0.1636
2.4722,256.05,109.62,-24.921,110.07,24.967,21.092,0.0021114,21.092,0.0057355,9.9383,1.5095,32.9,-106,9.7946,0.020889,0,0.29217,-0.013779,1136,0,0.18316,0.0087285,74.176,65.549,1.0956,0.3251,7025620,0,17.265,0.49015,0.49015,0.31123,0.045183,0.13374,0.0052638,0.0053533,3.8371e-4,0,0,0,0,6.2648e-7,0.013501,7.874,48.695,83.736,-0.001072,NaN,13.011,977.36,339.18,0.01,0.16388
2.4822,257.14,109.37,-24.851,109.82,24.894,21.192,0.0021254,21.192,0.0057463,9.9234,1.4629,32.9,-106,9.7946,0.025841,0,0.34982,-0.01263,1136,0,0.18316,0.0087285,74.174,65.549,1.0953,0.32436,7008953,0,17.18,0.49003,0.49003,0.31124,0.045107,0.13368,0.0065119,0.0072174,-2.979e-4,0,0,0,0,9.0222e-7,0.01347,7.874,48.695,83.74,-0.0012595,NaN,13.004,977.23,339.18,0.01,0.16418
2.4922,258.24,109.12,-24.781,109.57,24.822,21.291,0.0021387,21.291,0.0057555,9.909,1.4225,32.9,-106,9.7946,0.030024,0,0.41458,-0.0092433,1136,0,0.18316,0.0087285,74.172,65.549,1.0951,0.32363,6992337,0,17.096,0.48991,0.48991,0.31126,0.045032,0.13362,0.0075664,0.0079098,4.7175e-4,0,0,0,0,1.273e-6,0.01344,7.874,48.695,83.744,-0.0012299,NaN,12.996,977.1,339.17,0.01,0.16447
2.5022,259.33,108.87,-24.706,109.32,24.747,21.39,0.0021515,21.39,0.0057631,9.8949,1.4238,32.9,-106,9.7946,0.028783,0,0.48869,-0.0087943,1136,0,0.18316,0.0087285,74.172,65.549,1.0951,0.3229,6975834,0,17.012,0.48978,0.48979,0.31127,0.044958,0.13355,0.0072531,0.0083695,-4.3577e-4,0,0,0,0,1.7769e-6,0.013409,7.874,48.695,83.748,-9.6486e-4,NaN,12.989,976.97,339.17,0.01,0.16475
2.5122,260.41,108.62,-24.62,109.07,24.669,21.489,0.0021638,21.489,0.0057694,9.88,1.5487,32.9,-106,9.7946,0.011338,0,0.53688,-0.02624,1136,0,0.18316,0.0087285,74.179,65.549,1.0959,0.32218,6959593,0,16.93,0.48967,0.48967,0.31129,0.044884,0.13349,0.0028561,0.002977,-1.2661e-4,0,0,0,0,2.1543e-6,0.013379,7.874,48.695,83.753,-4.8308e-4,NaN,12.982,976.84,339.17,0.01,0.16505
2.5222,261.5,108.38,-24.535,108.83,24.591,21.588,0.0021757,21.588,0.0057745,9.8639,1.6694,32.9,-106,9.7946,0.0057954,0,-0.53883,-0.064702,1136,0,0.18316,0.0087285,74.18,65.549,1.0962,0.32146,6943404,0,16.848,0.48955,0.48955,0.3113,0.044812,0.13343,0.0014597,0.0011859,3e-4,0,0,0,0,-2.1797e-6,0.013349,7.874,48.695,83.759,2.8629e-4,NaN,12.975,976.72,339.16,0.01,0.16532
2.5322,262.58,108.13,-24.45,108.58,24.515,21.686,0.0021872,21.686,0.0057787,9.8466,1.7835,32.9,-106,9.7946,0.022109,0,-0.50994,-0.021554,1136,0,0.18316,0.0087285,74.173,65.549,1.0953,0.32074,6927263,0,16.767,0.48943,0.48943,0.31132,0.044739,0.13337,0.0055701,0.0059172,1.1861e-4,0,0,0,0,-1.961e-6,0.013319,7.874,48.695,83.764,0.0012821,NaN,12.968,976.59,339.16,0.01,0.1656
2.5422,263.66,107.89,-24.367,108.34,24.44,21.784,0.0021984,21.784,0.0057821,9.8283,1.8885,32.9,-106,9.7946,0.037357,0,-0.44084,-0.01413,1136,0,0.18316,0.0087285,74.167,65.549,1.0944,0.32003,6911173,0,16.687,0.48931,0.48931,0.31133,0.044667,0.13331,0.0094138,0.010683,-1.8878e-5,0,0,0,0,-1.4722e-6,0.013289,7.874,48.695,83.769,0.0022963,NaN,12.961,976.46,339.15,0.01,0.1659
2.5522,264.74,107.65,-24.286,108.09,24.367,21.883,0.0022094,21.883,0.005785,9.8089,1.9816,32.9,-106,9.7946,0.051119,0,-0.33658,-0.012438,1136,0,0.18316,0.0087285,74.161,65.549,1.0937,0.31932,6895130,0,16.607,0.4892,0.4892,0.31135,0.044596,0.13326,0.012885,0.014406,5.9948e-5,0,0,0,0,-8.6201e-7,0.013259,7.874,48.695,83.773,0.0032668,NaN,12.954,976.34,339.15,0.01,0.16619
2.5622,265.82,107.4,-24.207,107.85,24.295,21.981,0.0022204,21.981,0.0057878,9.7887,2.0596,32.9,-106,9.7946,0.062921,0,-0.20389,-0.011968,1136,0,0.18316,0.0087285,74.156,65.549,1.093,0.31861,6879132,0,16.527,0.48908,0.48909,0.31136,0.044525,0.1332,0.015862,0.01772,8.5772e-5,0,0,0,0,-3.1774e-7,0.013229,7.874,48.695,83.775,0.004289,NaN,12.947,976.21,339.14,0.01,0.16645
2.5722,266.89,107.16,-24.13,107.61,24.223,22.078,0.0022313,22.078,0.0057905,9.7678,2.1237,32.9,-106,9.7946,0.072895,0,-0.047854,-0.012168,1136,0,0.18316,0.0087285,74.151,65.549,1.0925,0.3179,6863183,0,16.448,0.48897,0.48897,0.31137,0.044454,0.13314,0.018379,0.020485,2.831e-4,0,0,0,0,-1.7582e-8,0.013199,7.874,48.695,83.777,0.0053907,NaN,12.94,976.08,339.14,0.01,0.16673
2.5822,267.96,106.92,-24.055,107.37,24.153,22.176,0.0022423,22.176,0.0057934,9.7463,2.1729,32.9,-106,9.7946,0.080895,0,0.12803,-0.012491,1136,0,0.18316,0.0087285,74.148,65.549,1.092,0.31719,6847282,0,16.369,0.48885,0.48886,0.31139,0.044384,0.13308,0.020399,0.02181,4.5778e-4,0,0,0,0,1.2641e-7,0.01317,7.874,48.695,83.776,0.0065267,NaN,12.933,975.96,339.14,0.01,0.16702
2.5922,269.03,106.68,-23.982,107.12,24.083,22.273,0.0022534,22.273,0.0057967,9.7244,2.207,32.9,-106,9.7946,0.086837,0,0.31923,-0.013982,1136,0,0.18316,0.0087285,74.145,65.549,1.0916,0.31649,6831429,0,16.29,0.48874,0.48875,0.3114,0.044314,0.13302,0.021899,0.023669,-2.5969e-4,0,0,0,0,7.8944e-7,0.01314,7.874,48.695,83.774,0.0077199,NaN,12.926,975.83,339.13,0.01,0.1673
2.6022,270.09,106.44,-23.912,106.88,24.014,22.37,0.0022648,22.37,0.0058006,9.7022,2.2088,32.9,-106,9.7946,0.088369,0,0.51647,-0.01295,1136,0,0.18316,0.0087285,74.144,65.549,1.0915,0.31579,6815593,0,16.212,0.48862,0.48864,0.31142,0.044244,0.13296,0.022285,0.024658,-2.6107e-4,0,0,0,0,2.0755e-6,0.013111,7.874,48.695,83.77,0.0088001,NaN,12.919,975.71,339.13,0.01,0.16761
2.6122,271.16,106.2,-23.85,106.64,23.946,22.467,0.0022764,22.467,0.0058053,9.6805,2.1396,32.9,-106,9.7946,0.080124,0,0.7067,-0.014471,1136,0,0.18316,0.0087285,74.147,65.549,1.0919,0.31508,6799699,0,16.134,0.48851,0.48852,0.31143,0.044174,0.13291,0.020202,0.021889,1.0632e-4,0,0,0,0,3.9036e-6,0.013081,7.874,48.695,83.764,0.0097791,NaN,12.912,975.58,339.12,0.01,0.16794
2.6222,272.22,105.97,-23.79,106.4,23.879,22.564,0.0022885,22.564,0.005811,9.6594,2.061,32.9,-106,9.7946,0.070437,0,0.87455,-0.017782,1136,0,0.18316,0.0087285,74.15,65.549,1.0924,0.31438,6783853,0,16.056,0.4884,0.4884,0.31144,0.044105,0.13285,0.017756,0.019496,-2.2621e-4,0,0,0,0,6.0051e-6,0.013052,7.874,48.695,83.756,0.010783,NaN,12.906,975.46,339.12,0.01,0.16824
2.6322,273.27,105.73,-23.731,106.17,23.813,22.661,0.0023009,22.661,0.0058177,9.6393,1.9751,32.9,-106,9.7946,0.059579,0,1.0198,-0.019709,1136,0,0.18316,0.0087285,74.155,65.549,1.0929,0.31368,6768054,0,15.979,0.48828,0.48829,0.31146,0.044036,0.13279,0.015015,0.016724,3.5704e-4,0,0,0,0,8.2021e-6,0.013023,7.874,48.695,83.746,0.011707,NaN,12.899,975.34,339.12,0.01,0.16853
2.6422,274.33,105.49,-23.672,105.93,23.747,22.757,0.0023138,22.757,0.0058257,9.62,1.8838,32.9,-106,9.7946,0.047826,0,1.1407,-0.023912,1136,0,0.18316,0.0087285,74.159,65.549,1.0935,0.31298,6752303,0,15.902,0.48817,0.48818,0.31147,0.043967,0.13273,0.01205,0.012978,4.8713e-4,0,0,0,0,1.0309e-5,0.012993,7.874,48.695,83.735,0.012549,NaN,12.892,975.21,339.11,0.01,0.16881
2.6522,275.38,105.25,-23.609,105.69,23.681,22.853,0.0023273,22.853,0.0058349,9.6015,1.8467,32.9,-106,9.7946,0.043483,0,1.2377,-0.027578,1136,0,0.18316,0.0087285,74.161,65.549,1.0937,0.31228,6736703,0,15.826,0.48806,0.48807,0.31148,0.0439,0.13268,0.010955,0.012453,7.0837e-5,0,0,0,0,1.2191e-5,0.012964,7.874,48.695,83.724,0.013263,NaN,12.885,975.09,339.11,0.01,0.16912
2.6622,276.44,105.02,-23.527,105.45,23.612,22.949,0.0023413,22.949,0.0058454,9.5823,1.9985,32.9,-106,9.7946,0.065542,0,1.3577,-0.022596,1136,0,0.18316,0.0087285,74.151,65.549,1.0925,0.31161,6721513,0,15.752,0.48796,0.48796,0.3115,0.043834,0.13262,0.016518,0.01799,-2.6592e-4,0,0,0,0,1.4733e-5,0.012935,7.874,48.695,83.711,0.01389,NaN,12.878,974.96,339.1,0.01,0.16941
2.6722,277.48,104.78,-23.447,105.22,23.544,23.045,0.0023559,23.045,0.0058574,9.5616,2.1344,32.9,-106,9.7946,0.085499,0,1.5235,-0.019091,1136,0,0.18316,0.0087285,74.143,65.549,1.0914,0.31094,6706369,0,15.679,0.48785,0.48786,0.31151,0.043769,0.13257,0.021555,0.023249,-4.7521e-5,0,0,0,0,1.8631e-5,0.012906,7.874,48.695,83.696,0.014399,NaN,12.871,974.84,339.1,0.01,0.16974
2.6822,278.53,104.55,-23.37,104.98,23.478,23.14,0.002371,23.14,0.0058707,9.5396,2.2522,32.9,-106,9.7946,0.10301,0,1.7292,-0.016085,1136,0,0.18316,0.0087285,74.135,65.549,1.0904,0.31027,6691273,0,15.606,0.48774,0.48776,0.31152,0.043704,0.13251,0.025976,0.02835,-3.7711e-4,0,0,0,0,2.4106e-5,0.012878,7.874,48.695,83.68,0.014744,NaN,12.865,974.72,339.09,0.01,0.17009
2.6922,279.58,104.32,-23.294,104.75,23.413,23.235,0.0023868,23.235,0.0058855,9.5166,2.3504,32.9,-106,9.7946,0.11779,0,1.97,-0.012543,1136,0,0.18316,0.0087285,74.129,65.549,1.0896,0.3096,6676223,0,15.534,0.48764,0.48766,0.31154,0.043639,0.13246,0.029711,0.032455,7.9776e-5,0,0,0,0,3.1425e-5,0.012849,7.874,48.695,83.662,0.014818,NaN,12.858,974.6,339.09,0.01,0.17042
2.7022,280.62,104.08,-23.227,104.52,23.348,23.33,0.0024031,23.33,0.0059016,9.4928,2.371,32.9,-106,9.7946,0.12156,0,2.2323,-0.01277,1136,0,0.18316,0.0087285,74.127,65.549,1.0894,0.30893,6661111,0,15.461,0.48753,0.48755,0.31155,0.043574,0.13241,0.030662,0.033463,-1.8958e-4,0,0,0,0,4.0528e-5,0.01282,7.874,48.695,83.641,0.014714,NaN,12.851,974.47,339.09,0.01,0.17075
2.7122,281.66,103.85,-23.182,104.28,23.285,23.425,0.00242,23.425,0.005919,9.47,2.182,32.9,-106,9.7946,0.095291,0,2.4669,-0.015512,1136,0,0.18316,0.0087285,74.137,65.549,1.0907,0.30824,6645675,0,15.387,0.48742,0.48744,0.31156,0.043508,0.13235,0.024025,0.026104,3.7283e-4,0,0,0,0,4.9713e-5,0.012791,7.874,48.695,83.617,0.014531,NaN,12.844,974.35,339.08,0.01,0.17117
2.7222,282.69,103.62,-23.139,104.05,23.224,23.52,0.0024373,23.52,0.0059375,9.4492,1.9883,32.9,-106,9.7946,0.067998,0,2.6397,-0.022316,1136,0,0.18316,0.0087285,74.148,65.549,1.0921,0.30756,6630283,0,15.313,0.48732,0.48732,0.31158,0.043443,0.1323,0.017134,0.018406,2.702e-4,0,0,0,0,5.7178e-5,0.012763,7.874,48.695,83.591,0.014325,NaN,12.837,974.23,339.08,0.01,0.17149
2.7322,283.73,103.39,-23.095,103.82,23.165,23.614,0.0024552,23.614,0.0059571,9.4303,1.794,32.9,-106,9.7946,0.040293,0,2.7551,-0.036396,1136,0,0.18316,0.0087285,74.159,65.549,1.0935,0.30687,6614938,0,15.24,0.48721,0.48721,0.31159,0.043377,0.13224,0.010148,0.010544,-2.1404e-4,0,0,0,0,6.2564e-5,0.012735,7.874,48.695,83.564,0.014047,NaN,12.831,974.11,339.07,0.01,0.17184
2.7422,284.76,103.16,-23.052,103.59,23.108,23.708,0.0024735,23.708,0.0059776,9.4133,1.6031,32.9,-106,9.7946,0.012776,0,2.807,-0.10955,1136,0,0.18316,0.0087285,74.17,65.549,1.0949,0.30619,6599636,0,15.167,0.4871,0.4871,0.3116,0.043312,0.13219,0.003216,0.0038556,3.3257e-5,0,0,0,0,6.5235e-5,0.012706,7.874,48.695,83.537,0.013661,NaN,12.824,973.99,339.07,0.01,0.17216
2.7522,285.79,102.93,-23.009,103.36,23.053,23.803,0.0024922,23.803,0.005999,9.3982,1.424,32.9,-106,9.7945,0.01333,0,-2.8075,-0.099098,1136,0,0.18316,0.0087285,74.17,65.549,1.0948,0.30551,6584388,0,15.095,0.487,0.487,0.31162,0.043248,0.13213,0.0033552,0.0035673,-2.7765e-4,0,0,0,0,-6.5551e-5,0.012678,7.874,48.695,83.508,0.013233,NaN,12.817,973.87,339.07,0.01,0.17261
2.7622,286.82,102.7,-22.963,103.13,22.998,23.896,0.0025112,23.896,0.0060211,9.3847,1.2707,32.9,-106,9.7945,0.035829,0,-2.758,-0.035339,1136,0,0.18316,0.0087285,74.16,65.549,1.0936,0.30484,6569216,0,15.023,0.48689,0.4869,0.31163,0.043184,0.13208,0.009022,0.0098754,4.0111e-4,0,0,0,0,-6.3541e-5,0.01265,7.874,48.695,83.481,0.01276,NaN,12.811,973.75,339.06,0.01,0.17295
2.7722,287.85,102.47,-22.916,102.9,22.944,23.99,0.0025306,23.99,0.0060438,9.3727,1.1289,32.9,-106,9.7945,0.056786,0,-2.6613,-0.020061,1136,0,0.18316,0.0087285,74.151,65.549,1.0925,0.30416,6554087,0,14.952,0.48679,0.48679,0.31164,0.04312,0.13203,0.014304,0.016101,1.7094e-4,0,0,0,0,-5.9429e-5,0.012622,7.874,48.695,83.453,0.012146,NaN,12.804,973.63,339.06,0.01,0.17325
2.7822,288.87,102.24,-22.868,102.67,22.89,24.084,0.0025502,24.084,0.0060669,9.3621,1.0011,32.9,-106,9.7945,0.075818,0,-2.5236,-0.0142,1136,0,0.18316,0.0087285,74.143,65.549,1.0914,0.30349,6539001,0,14.881,0.48669,0.48669,0.31166,0.043057,0.13197,0.019104,0.020472,1.327e-4,0,0,0,0,-5.3673e-5,0.012594,7.874,48.695,83.427,0.011513,NaN,12.797,973.51,339.05,0.01,0.17362
2.7922,289.89,102.01,-22.819,102.44,22.836,24.177,0.00257,24.177,0.0060903,9.3526,0.8889,32.9,-106,9.7945,0.092631,0,-2.3514,-0.01117,1136,0,0.18316,0.0087285,74.136,65.549,1.0905,0.30282,6523958,0,14.81,0.48658,0.4866,0.31167,0.042994,0.13192,0.023347,0.025771,6.704e-5,0,0,0,0,-4.6807e-5,0.012566,7.874,48.695,83.403,0.010837,NaN,12.791,973.39,339.05,0.01,0.17394
2.8022,290.91,101.78,-22.768,102.21,22.782,24.271,0.0025899,24.271,0.0061139,9.3442,0.79044,32.9,-106,9.7945,0.10747,0,-2.1451,-0.0090464,1136,0,0.18316,0.0087285,74.129,65.549,1.0897,0.30215,6508952,0,14.74,0.48648,0.4865,0.31168,0.042931,0.13187,0.027093,0.029649,1.0229e-4,0,0,0,0,-3.9129e-5,0.012538,7.874,48.695,83.381,0.01008,NaN,12.784,973.27,339.05,0.01,0.17422
2.8122,291.93,101.56,-22.717,101.98,22.728,24.364,0.0026099,24.364,0.0061375,9.3368,0.69894,32.9,-106,9.7945,0.12131,0,-1.9089,-0.0061328,1136,0,0.18316,0.0087285,74.123,65.549,1.089,0.30149,6493965,0,14.671,0.48638,0.4864,0.31169,0.042868,0.13182,0.03059,0.033024,3.7416e-4,0,0,0,0,-3.1124e-5,0.01251,7.874,48.695,83.36,0.0093738,NaN,12.777,973.15,339.04,0.01,0.17455
2.8222,292.94,101.33,-22.664,101.76,22.673,24.458,0.0026299,24.458,0.006161,9.3302,0.62704,32.9,-106,9.7945,0.13224,0,-1.6527,-0.0071967,1136,0,0.18316,0.0087285,74.119,65.549,1.0883,0.30082,6479020,0,14.601,0.48628,0.4863,0.31171,0.042806,0.13176,0.03335,0.036706,-6.8824e-5,0,0,0,0,-2.3433e-5,0.012482,7.874,48.695,83.342,0.008688,NaN,12.771,973.03,339.04,0.01,0.17602
2.8322,293.95,101.1,-22.609,101.53,22.617,24.551,0.0026499,24.551,0.0061842,9.3242,0.57507,32.9,-106,9.7945,0.14015,0,-1.3763,-0.0056833,1136,0,0.18316,0.0087285,74.115,65.549,1.0879,0.30016,6464117,0,14.532,0.48618,0.4862,0.31172,0.042745,0.13171,0.035349,0.038906,3.8956e-4,0,0,0,0,-1.6323e-5,0.012455,7.874,48.695,83.327,0.0079507,NaN,12.764,972.91,339.03,0.01,0.1765
2.8422,294.96,100.88,-22.552,101.31,22.559,24.644,0.0026698,24.644,0.0062072,9.3186,0.54306,32.9,-106,9.7945,0.145,0,-1.0888,-0.004651,1136,0,0.18316,0.0087285,74.113,65.549,1.0876,0.29949,6449257,0,14.463,0.48607,0.48611,0.31173,0.042683,0.13166,0.036575,0.040192,9.1727e-5,0,0,0,0,-1.0261e-5,0.012427,7.874,48.695,83.315,0.007307,NaN,12.758,972.79,339.03,0.01,0.17697
2.8522,295.97,100.65,-22.493,101.08,22.5,24.737,0.0026896,24.737,0.0062296,9.3133,0.5297,32.9,-106,9.7945,0.14694,0,-0.7957,-0.0041678,1136,0,0.18316,0.0087285,74.112,65.549,1.0875,0.29883,6434436,0,14.395,0.48597,0.48601,0.31174,0.042622,0.13161,0.037066,0.04001,-2.2794e-4,0,0,0,0,-5.5047e-6,0.012399,7.874,48.695,83.305,0.0067575,NaN,12.751,972.67,339.03,0.01,0.17771
2.8622,296.98,100.43,-22.433,100.86,22.439,24.83,0.0027093,24.83,0.0062516,9.308,0.53224,32.9,-106,9.7945,0.14637,0,-0.50393,-0.0010775,1136,0,0.18316,0.0087285,74.112,65.549,1.0875,0.29817,6419652,0,14.327,0.48587,0.48591,0.31176,0.042561,0.13156,0.036919,0.040335,-1.5971e-5,0,0,0,0,-2.2177e-6,0.012372,7.874,48.695,83.299,0.0063899,NaN,12.745,972.56,339.02,0.01,0.17815
2.8722,297.98,100.2,-22.37,100.63,22.377,24.923,0.0027287,24.923,0.006273,9.3026,0.55252,32.9,-106,9.7945,0.14296,0,-0.215,-7.2737e-4,1136,0,0.18316,0.0087285,74.113,65.549,1.0876,0.29752,6404909,0,14.259,0.48578,0.48581,0.31177,0.042501,0.13151,0.036055,0.039559,-2.0747e-4,0,0,0,0,-4.055e-7,0.012345,7.874,48.695,83.295,0.0062136,NaN,12.738,972.44,339.02,0.01,0.17907
